id,couple_id,season,premier_date,location,name,age,age_difference,gender,job,job_type,decision,split_decision,status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes,DeVonFranklin,DrPiaHolec
56,28,9,06/12/19,"Charlotte, North Carolina",Gregory Okotie,32,2,M,Math Learning Center Owner,Education,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
57,29,9,06/12/19,"Charlotte, North Carolina",Amber Bowles,27,4,F,Middle School Teacher,Education,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
58,29,9,06/12/19,"Charlotte, North Carolina",Matthew Gwynne,31,4,M,Ex Professional Basketball Player,Other,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
59,30,10,01/01/20,Washington D.C.,Katie Conrad,25,1,F,Mental Health Professional,Healthcare,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
60,30,10,01/01/20,Washington D.C.,Derek Sherman,26,1,M,Cyber Security Engineer,Tech/Science/Engineering,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
61,31,10,01/01/20,Washington D.C.,Jessica Studer,31,0,F,Nurse Manager,Healthcare,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
62,31,10,01/01/20,Washington D.C.,Austin Hurd,31,0,M,Network Technician,Tech/Science/Engineering,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
63,32,10,01/01/20,Washington D.C.,Taylor Dunklin,27,7,F,Research Scientist,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
64,32,10,01/01/20,Washington D.C.,Brandon Reid,34,7,M,Sales Manager,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
65,33,10,01/01/20,Washington D.C.,Meka Jones,25,6,F,Category Analyst,Business/Finance,No,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
66,33,10,01/01/20,Washington D.C.,Michael Watson,31,6,M,Education Director,Education,Yes,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
67,34,10,01/01/20,Washington D.C.,Mindy Shiben,34,2,F,Figure Skating Coach,Education,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
68,34,10,01/01/20,Washington D.C.,Zach Justice,32,2,M,Fitness Professional,Other,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
69,35,11,07/15/20,"New Orleans, Louisiana",Amelia Fatsi,27,1,F,Physician,Healthcare,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
70,35,11,07/15/20,"New Orleans, Louisiana",Bennett Kirschner,28,1,M,Artistic director of a theater company,Other,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
71,36,11,07/15/20,"New Orleans, Louisiana",Olivia Cornu,30,5,F,Nurse practitioner,Healthcare,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
72,36,11,07/15/20,"New Orleans, Louisiana","Brett Lindsey	",35,5,M,Certified AWS cloud practitioner,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
73,37,11,07/15/20,"New Orleans, Louisiana",Karen Landry-Williams,30,4,F,Human resources consultant,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
74,37,11,07/15/20,"New Orleans, Louisiana",Miles Williams,26,4,M,Children & youth educator,Education,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
75,38,11,07/15/20,"New Orleans, Louisiana",Amani Smith,29,1,F,Nonprofit field,Other,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
76,38,11,07/15/20,"New Orleans, Louisiana",Woody Randall,30,1,M,Teacher and coach/mentor,Education,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
77,39,11,07/15/20,"New Orleans, Louisiana",Christina Croce,30,5,F,Flight attendant,Other,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
78,39,11,07/15/20,"New Orleans, Louisiana",Henry Rodriguez,35,5,M,Clinical recruiter,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
79,40,12,01/13/21,"Atlanta, Georgia",Haley Harris,28,10,F,Account Executive,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
80,40,12,01/13/21,"Atlanta, Georgia",Jacob Harter,38,10,M,Senior IT Analyst,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
81,41,12,01/13/21,"Atlanta, Georgia",Paige Banks,25,2,F,Accountant,Business/Finance,No,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
82,41,12,01/13/21,"Atlanta, Georgia",Chris Williams,27,2,M,Finance Manager & Entrepreneur,Business/Finance,Yes,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
83,42,12,01/13/21,"Atlanta, Georgia",Briana Myles,28,0,F,Engineer,Tech/Science/Engineering,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
84,42,12,01/13/21,"Atlanta, Georgia",Vincent Morales,28,0,M,Auto Broker,Sales/Marketing,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
85,43,12,01/13/21,"Atlanta, Georgia",Clara Berghaus,27,2,F,Flight Attendant,Other,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
